date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:27:20	1386/1386	---M--	200	added ('OK')	application/x-javascript	etag:%2256a-5e4adff39b380%22	https://mophy.dexignzone.com/xhtml/js/dashboard/cards-center.js	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/js/dashboard/cards-center.js	(from https://mophy.dexignzone.com/xhtml/cards-center.html)
20:27:21	4037/4037	---M--	200	added ('OK')	image/png	etag:%22fc5-5e49fb075dac0%22	https://mophy.dexignzone.com/xhtml/images/avatar/27.png	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/images/avatar/27.png	(from https://mophy.dexignzone.com/xhtml/transactions.html)
20:27:21	916/916	---M--	200	added ('OK')	image/png	etag:%22394-5e49fb0a3a180%22	https://mophy.dexignzone.com/xhtml/images/avatar/28.png	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/images/avatar/28.png	(from https://mophy.dexignzone.com/xhtml/transactions.html)
20:27:21	3236/3236	---M--	200	added ('OK')	image/png	etag:%22ca4-5e49fb0c22600%22	https://mophy.dexignzone.com/xhtml/images/avatar/29.png	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/images/avatar/29.png	(from https://mophy.dexignzone.com/xhtml/transactions.html)
20:27:22	6561/6561	---M--	200	added ('OK')	image/png	etag:%2219a1-5e49fb0e0aa80%22	https://mophy.dexignzone.com/xhtml/images/avatar/30.png	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/images/avatar/30.png	(from https://mophy.dexignzone.com/xhtml/transactions-details.html)
20:27:22	3754/3754	---M--	200	added ('OK')	application/x-javascript	etag:%22eaa-5e4adff48f5c0%22	https://mophy.dexignzone.com/xhtml/js/dashboard/transactions-details.js	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/js/dashboard/transactions-details.js	(from https://mophy.dexignzone.com/xhtml/transactions-details.html)
20:27:22	12780/12780	---M--	200	added ('OK')	text/css	etag:%2231ec-5e49fe535e200%22	https://mophy.dexignzone.com/xhtml/vendor/dropzone/dist/dropzone.css	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/vendor/dropzone/dist/dropzone.css	(from https://mophy.dexignzone.com/xhtml/email-compose.html)
20:27:23	134624/134624	---M--	200	added ('OK')	application/x-javascript	etag:%2220de0-5e49fe5546680%22	https://mophy.dexignzone.com/xhtml/vendor/dropzone/dist/dropzone.js	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/vendor/dropzone/dist/dropzone.js	(from https://mophy.dexignzone.com/xhtml/email-compose.html)
20:27:23	238/238	---M--	302	error ('Found')	text/html	date:Thu,%2006%20Apr%202023%2019:27:24%20GMT	https://mophy.dexignzone.com/xhtml/images/avatar/resume.pdf	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/images/avatar/resume.a4.delayed	(from https://mophy.dexignzone.com/xhtml/email-read.html)
20:27:24	24939/24939	---M--	200	added ('OK')	text/css	etag:%22616b-5e49fe5916f80%22	https://mophy.dexignzone.com/xhtml/vendor/fullcalendar/css/main.min.css	C:/dhaboard/dashboard/mophy.dexignzone.com/xhtml/vendor/fullcalendar/css/main.min.css	(from https://mophy.dexignzone.com/xhtml/app-calender.html)
